ExtractID,ExtractDate,ExtractedBy,ExtractType,ExtractKit,SampleID,ExtractConcentration,ExtractBox,ExtractNotes
HDZ-004-E1,11/3/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-004,55,HDZ Loris DNA Extracts Box 1,
HDZ-005-E1,11/3/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-005,24,HDZ Loris DNA Extracts Box 1,
HDZ-011-E1,11/10/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-011,45,HDZ Loris DNA Extracts Box 1,
HDZ-013-E1,11/10/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-013,42,HDZ Loris DNA Extracts Box 1,
HDZ-014-E1,11/10/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-014,22,HDZ Loris DNA Extracts Box 1,
HDZ-015-E1,11/15/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-015,7.1,HDZ Loris DNA Extracts Box 1,
HDZ-018-E1,11/15/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-018,9.3,HDZ Loris DNA Extracts Box 1,
HDZ-019-E1,11/15/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-019,22,HDZ Loris DNA Extracts Box 1,
HDZ-038-E1,1/6/2024,SA/WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-038,90,HDZ Loris DNA Extracts Box 2,
HDZ-046-E1,1/6/2024,SA/WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-046,6.3,HDZ Loris DNA Extracts Box 1,
HDZ-051-E1,1/6/2024,SA/WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-051,17,HDZ Loris DNA Extracts Box 1,
HDZ-010-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-010,11,HDZ Loris DNA Extracts Box 1,
HDZ-020-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-020,15,HDZ Loris DNA Extracts Box 1,
HDZ-021-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-021,19,HDZ Loris DNA Extracts Box 1,
HDZ-022-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-022,11,HDZ Loris DNA Extracts Box 1,
HDZ-025-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-025,24,HDZ Loris DNA Extracts Box 1,
HDZ-027-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-027,11,HDZ Loris DNA Extracts Box 1,
HDZ-028-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-028,20,HDZ Loris DNA Extracts Box 1,
HDZ-029-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-029,12,HDZ Loris DNA Extracts Box 1,
HDZ-016-E1,1/17/2024,SA/MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-016,22,HDZ Loris DNA Extracts Box 1,
HDZ-023-E1,1/17/2024,SA/MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-023,29,HDZ Loris DNA Extracts Box 1,
HDZ-024-E1,1/17/2024,SA/MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-024,23,HDZ Loris DNA Extracts Box 1,
HDZ-026-E1,1/17/2024,SA/MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-026,28,HDZ Loris DNA Extracts Box 1,
HDZ-030-E1,1/17/2024,SA/MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-030,21,HDZ Loris DNA Extracts Box 1,
HDZ-039-E1,1/24/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-039,11,HDZ Loris DNA Extracts Box 1,
HDZ-043-E1,1/24/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-043,0.033,HDZ Loris DNA Extracts Box 1,
HDZ-057-E1,1/24/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-057,77,HDZ Loris DNA Extracts Box 1,
HDZ-069-E1,1/24/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-069,69,HDZ Loris DNA Extracts Box 1,
