seq_name	Accession	Definition	Source	Genus	Species	Subspecies	Organism	Date	Length
AY441477	AY441477.1	Nycticebus bengalensis cytochrome b gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2004-10-31	1140
AY878360	AY878360.1	Nycticebus bengalensis isolate B6 cytochrome b (cytb) gene, partial cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2005-02-05	425
AY875941	AY875941.1	Nycticebus bengalensis isolate B1 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2005-04-05	391
AY875942	AY875942.1	Nycticebus bengalensis isolate B2 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2005-04-05	391
AY875943	AY875943.1	Nycticebus bengalensis isolate B3 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2005-04-05	391
AY875944	AY875944.1	Nycticebus bengalensis isolate B4 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2005-04-05	391
AY875945	AY875945.1	Nycticebus bengalensis isolate B5 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2005-04-05	392
AY875946	AY875946.1	Nycticebus bengalensis isolate B6 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2005-04-05	391
AY875947	AY875947.1	Nycticebus bengalensis isolate B7 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2005-04-05	391
AY875948	AY875948.1	Nycticebus bengalensis isolate B8 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2005-04-05	391
